iter	Passed	Remaining
0	288	28513
1	551	27040
2	815	26353
3	1093	26241
4	1343	25521
5	1627	25494
6	1894	25169
7	2190	25192
8	2463	24903
9	2744	24699
10	3021	24446
11	3276	24025
12	3541	23702
13	3803	23362
14	4106	23270
15	4371	22951
16	4615	22536
17	4892	22286
18	5182	22095
19	5470	21881
20	5740	21595
21	6005	21292
22	6293	21071
23	6542	20717
24	6758	20274
25	7029	20006
26	7310	19764
27	7592	19522
28	7886	19307
29	8167	19056
30	8465	18843
31	8762	18619
32	9021	18315
33	9297	18047
34	9577	17786
35	9849	17510
36	10121	17233
37	10367	16916
38	10648	16654
39	10917	16375
40	11193	16107
41	11482	15856
42	11748	15573
43	12026	15306
44	12288	15019
45	12566	14751
46	12825	14463
47	13064	14152
48	13319	13862
49	13611	13611
50	13901	13356
51	14183	13092
52	14452	12816
53	14697	12520
54	14995	12268
55	15275	12002
56	15554	11734
57	15821	11457
58	16090	11181
59	16387	10924
60	16676	10662
61	16968	10400
62	17268	10141
63	17531	9861
64	17807	9588
65	18037	9291
66	18306	9016
67	18595	8750
68	18890	8486
69	19167	8214
70	19442	7941
71	19725	7671
72	19989	7393
73	20280	7125
74	20580	6860
75	20856	6586
76	21152	6318
77	21418	6041
78	21700	5768
79	21962	5490
80	22265	5222
81	22521	4943
82	22804	4670
83	23081	4396
84	23353	4121
85	23621	3845
86	23878	3568
87	24187	3298
88	24448	3021
89	24704	2744
90	24954	2468
91	25248	2195
92	25546	1922
93	25832	1648
94	26090	1373
95	26377	1099
96	26660	824
97	26951	550
98	27248	275
99	27536	0
