fold,true_label,predicted_label,prediction_probability,site
1,1,1,0.5359873175621033,CALTECH
1,0,0,0.23754587769508362,CALTECH
1,0,0,0.2516171336174011,CALTECH
1,1,0,0.24694222211837769,CMU
1,1,0,0.2573675513267517,CMU
1,0,0,0.22944337129592896,CMU
1,0,1,0.6798707246780396,KKI
1,0,1,0.540583610534668,KKI
1,0,0,0.3997778594493866,KKI
1,0,0,0.2830013334751129,KKI
1,1,0,0.2811349034309387,KKI
1,0,0,0.24322964251041412,KKI
1,1,0,0.332866907119751,KKI
1,0,0,0.24490958452224731,LEUVEN_1
1,1,0,0.22970759868621826,LEUVEN_1
1,0,0,0.32053399085998535,LEUVEN_1
1,0,0,0.48719555139541626,LEUVEN_1
1,1,0,0.32366129755973816,LEUVEN_1
1,1,0,0.2712278664112091,LEUVEN_1
1,0,0,0.3541121184825897,LEUVEN_2
1,0,0,0.26752862334251404,LEUVEN_2
1,0,0,0.3662887215614319,LEUVEN_2
1,0,1,0.5385012030601501,LEUVEN_2
1,1,0,0.30490097403526306,LEUVEN_2
1,1,0,0.30362775921821594,LEUVEN_2
1,1,0,0.255060613155365,MAX_MUN
1,1,1,0.6900821924209595,MAX_MUN
1,1,1,0.6785497069358826,MAX_MUN
1,1,1,0.680192232131958,MAX_MUN
1,0,0,0.24949553608894348,MAX_MUN
1,0,0,0.24176016449928284,MAX_MUN
1,0,0,0.4081636965274811,MAX_MUN
1,0,0,0.26667243242263794,MAX_MUN
1,0,0,0.4233670234680176,MAX_MUN
1,0,0,0.33220815658569336,MAX_MUN
1,1,0,0.2601366639137268,NYU
1,1,1,0.7741000652313232,NYU
1,1,0,0.45377448201179504,NYU
1,1,1,0.6262792348861694,NYU
1,1,1,0.6003544926643372,NYU
1,1,1,0.7244276404380798,NYU
1,1,0,0.23808598518371582,NYU
1,1,1,0.6718815565109253,NYU
1,1,1,0.7013825178146362,NYU
1,1,0,0.252290278673172,NYU
1,1,0,0.3163134455680847,NYU
1,1,0,0.2631787657737732,NYU
1,1,0,0.28252625465393066,NYU
1,1,0,0.24506571888923645,NYU
1,1,0,0.23764735460281372,NYU
1,0,0,0.3152546286582947,NYU
1,0,0,0.2880384624004364,NYU
1,0,0,0.3166111707687378,NYU
1,0,0,0.3545640707015991,NYU
1,0,0,0.4057826101779938,NYU
1,0,0,0.2926258146762848,NYU
1,0,0,0.2586417496204376,NYU
1,0,0,0.2553107738494873,NYU
1,0,0,0.2497631311416626,NYU
1,0,1,0.6152905821800232,NYU
1,0,0,0.24957557022571564,NYU
1,0,0,0.41323351860046387,NYU
1,0,0,0.24663808941841125,NYU
1,0,0,0.43898633122444153,NYU
1,0,1,0.6103414297103882,NYU
1,0,0,0.43334171175956726,NYU
1,0,0,0.30508700013160706,NYU
1,0,1,0.5633450150489807,NYU
1,0,0,0.2272058129310608,NYU
1,0,0,0.2903798818588257,NYU
1,1,1,0.6381803154945374,OHSU
1,1,0,0.4936642348766327,OHSU
1,1,1,0.6560088992118835,OHSU
1,0,0,0.4763329327106476,OHSU
1,0,0,0.25075069069862366,OHSU
1,0,0,0.4815046489238739,OLIN
1,0,0,0.23577086627483368,OLIN
1,0,0,0.25907936692237854,OLIN
1,1,1,0.6205419898033142,OLIN
1,1,1,0.6120111346244812,OLIN
1,1,1,0.5401415824890137,OLIN
1,1,0,0.26514220237731934,PITT
1,1,1,0.72883540391922,PITT
1,1,1,0.6851776242256165,PITT
1,1,0,0.28673413395881653,PITT
1,1,0,0.2778836190700531,PITT
1,0,0,0.2709304094314575,PITT
1,0,0,0.3754022717475891,PITT
1,0,0,0.262803852558136,PITT
1,0,0,0.2914801239967346,PITT
1,0,0,0.23579593002796173,PITT
1,0,0,0.2641294002532959,SBL
1,0,0,0.22708669304847717,SBL
1,0,0,0.2918928265571594,SBL
1,1,0,0.2864207923412323,SBL
1,1,1,0.5671101212501526,SBL
1,1,0,0.36598604917526245,SBL
1,1,0,0.24568620324134827,SDSU
1,1,0,0.3658701777458191,SDSU
1,0,0,0.32580316066741943,SDSU
